Id,SalePrice
1461,124745.23009126038
1462,162525.12964264274
1463,189867.64261775676
1464,187807.79834409937
1465,190986.8744503643
1466,177552.3063226453
1467,174441.82326725536
1468,169400.1594012734
1469,181988.92056536837
1470,127544.45966972015
1471,205671.15509349148
1472,93498.4743732713
1473,101619.90607878765
1474,149167.73414957998
1475,112213.36491999147
1476,412062.935926459
1477,258250.14531304382
1478,279073.4978443261
1479,283413.7596038707
1480,464204.0374555725
1481,328801.0059431196
1482,204545.63154938663
1483,180550.3558602663
1484,168544.79139913854
1485,178433.90672094663
1486,194308.79631215
1487,302596.0218191802
1488,230672.95537306627
1489,202600.69740491643
1490,222533.8125803259
1491,195371.1069622023
1492,98129.48005063017
1493,189522.0695214526
1494,289256.50052771874
1495,290029.7429690853
1496,236316.70018659675
1497,178303.77224971374
1498,155083.40464122608
1499,153368.89122608968
1500,158636.57207604774
1501,168574.55687481564
1502,159444.6496737814
1503,302131.8633506778
1504,230156.86528956212
1505,221707.0699635379
1506,174707.5889343986
1507,251785.98458598746
1508,200809.80921703269
1509,159417.24041367904
1510,146706.86841662796
1511,147236.9735070866
1512,168295.5665719282
1513,139066.24043582106
1514,157227.54181378987
1515,191542.9047778855
1516,144575.11470295556
1517,156549.10090338142
1518,136186.5572102578
1519,231389.4294451585
1520,135281.6599822028
1521,139882.77545152517
1522,168451.19106894123
1523,118950.94486698825
1524,121753.94092559406
1525,127253.21019819524
1526,123951.55212830177
1527,102957.35712901886
1528,126645.78374934524
1529,146917.26501099428
1530,170456.00835674943
1531,118293.46678350604
1532,99380.17553434934
1533,144295.6405364622
1534,118748.52929903449
1535,148585.24846287016
1536,113049.80746693618
1537,73962.04144323786
1538,145488.28550068667
1539,177360.2950383251
1540,99790.4446661216
1541,140029.43192506535
1542,136674.08355890977
1543,194298.11048886468
1544,81777.74128771304
1545,106460.54383299577
1546,124838.4657135301
1547,128025.34068166316
1548,127980.66274408143
1549,112372.28391284501
1550,135840.77411082987
1551,111430.92543419715
1552,142122.15868549637
1553,144814.62230750042
1554,120973.89055582914
1555,173769.22288658933
1556,89452.04849901494
1557,116980.63690400009
1558,95519.94572583286
1559,90569.51584198674
1560,132980.54105076622
1561,144357.44378929277
1562,129361.7644166344
1563,120300.42052098885
1564,161082.22203540886
1565,148833.50403397199
1566,232556.09570093107
1567,81738.4413136078
1568,231976.28841190637
1569,148496.5712775621
1570,142277.91195882272
1571,121305.73786025535
1572,144644.20678707134
1573,234466.6113573476
1574,118280.58806877148
1575,225881.8935540373
1576,235300.50288913786
1577,194536.7738180453
1578,147980.58474690063
1579,143698.19090817726
1580,187772.71628912314
1581,142269.99558439647
1582,125575.52648401786
1583,341811.6677584395
1584,230515.23832662948
1585,144806.4454599002
1586,74135.0374042855
1587,99463.40110086698
1588,147115.1934187631
1589,107256.68585216894
1590,133896.7857685788
1591,99579.21721977851
1592,124023.34072738123
1593,121662.71901748136
1594,116532.40044845887
1595,111419.82006963866
1596,238150.84340871873
1597,180319.3336151066
1598,195394.50572594922
1599,163619.43938518633
1600,174199.52868355674
1601,63032.61135911619
1602,111060.8798378015
1603,76867.01641703407
1604,276561.142715356
1605,249507.16469287558
1606,170124.71772814097
1607,162829.20121015108
1608,216972.64535025376
1609,189278.78041843302
1610,153089.1647671234
1611,145438.04851672618
1612,178533.44695259596
1613,174426.08372315412
1614,116001.86892705529
1615,89342.57685010888
1616,77269.42149315611
1617,91469.84637484324
1618,124732.32203552165
1619,144018.4180081089
1620,170543.28152479147
1621,143254.0322304297
1622,141759.93375264326
1623,266283.16607152636
1624,223992.68088052783
1625,125033.26234595147
1626,166946.73445330962
1627,189272.8444653049
1628,278019.9221660702
1629,171262.40354060067
1630,359900.7906898841
1631,207345.4391608003
1632,235383.7003547382
1633,170167.43578520947
1634,182798.28445893343
1635,180811.1703734072
1636,162922.0865156278
1637,190506.08069062437
1638,202021.82143361747
1639,182269.44097503595
1640,252120.59037194218
1641,175530.5824025582
1642,229586.11899832645
1643,221789.50891711286
1644,222867.01102356723
1645,199323.14749443735
1646,158400.88293222483
1647,159137.86981786886
1648,134013.1340423062
1649,139778.9851281318
1650,117871.40675661535
